OBJECTID,COUNTYL,PASER
9691,125,4
7079,125,7
6761,125,4
6743,125,3
8493,125,3
6775,125,3
6723,125,5
7110,125,6
6802,125,8
6708,125,2
6671,125,2
6760,125,5
6833,125,4
6735,125,3
7127,125,5
8500,125,3
6712,125,5
6811,125,4
6694,125,6
6785,125,6
6668,125,10
6669,125,10
7071,125,5
6773,125,3
7051,125,4
6751,125,4
7111,125,7
8498,125,3
6830,125,7
6693,125,6
7102,125,6
6814,125,3
6769,125,3
6680,125,8
7078,125,7
6755,125,5
7042,125,6
6740,125,3
7109,125,6
6820,125,3
6720,125,7
8554,125,3
7090,125,6
6798,125,8
9499,125,7
7083,125,7
6781,125,4
7043,125,6
6733,125,3
6797,125,8
6690,125,3
9689,125,5
6685,125,2
6745,125,2
7117,125,7
6819,125,3
6715,125,7
7095,125,6
6804,125,8
7073,125,4
6778,125,4
6698,125,7
8501,125,3
6786,125,8
6687,125,3
6783,125,4
9494,125,3
6734,125,3
7126,125,6
7084,125,7
6757,125,5
6728,125,4
8492,125,3
9699,125,5
6700,125,7
6807,125,3
6670,125,2
6681,125,8
6767,125,4
9697,125,4
7050,125,4
6749,125,4
7107,125,6
8491,125,4
6823,125,3
6709,125,5
9692,125,4
6706,125,2
7093,125,6
6791,125,8
7074,125,4
6771,125,3
9498,125,6
6747,125,4
6822,125,3
6718,125,7
7088,125,2
6789,125,8
9493,125,4
6776,125,3
7101,125,6
6812,125,4
6673,125,2
6762,125,4
9701,125,5
6732,125,4
7123,125,6
8502,125,3
6825,125,3
6714,125,5
7072,125,5
6763,125,4
8552,125,3
6724,125,5
7119,125,7
8497,125,3
6692,125,10
6793,125,8
10865,125,3
13507,125,3
14657,125,6
10207,125,3
12242,125,5
12713,125,3
13083,125,8
13318,125,6
12854,125,8
11096,125,5
10549,125,4
11922,125,3
10342,125,4
11289,125,1
13112,125,2
12944,125,3
11169,125,3
13198,125,8
13623,125,4
10722,125,2
10499,125,2
12343,125,5
12798,125,3
15026,125,4
12588,125,2
13125,125,3
10826,125,5
10598,125,3
12023,125,9
10397,125,2
11572,125,8
12213,125,9
12686,125,6
13066,125,5
13281,125,5
12815,125,3
11048,125,4
11887,125,2
10289,125,3
12435,125,8
12923,125,3
11132,125,3
13588,125,4
10706,125,2
10460,125,2
11890,125,2
11331,125,3
12320,125,6
12762,125,8
14997,125,9
13714,125,4
12543,125,6
13403,125,8
12920,125,3
13446,125,9
10574,125,2
11988,125,9
10351,125,3
11761,125,2
11536,125,3
12628,125,3
13255,125,4
10811,125,9
10277,125,2
11620,125,9
12396,125,4
14227,125,4
10897,125,7
13545,125,3
12068,125,6
10440,125,2
11299,125,3
12270,125,10
12724,125,4
12500,125,5
13367,125,3
12887,125,3
10534,125,3
10327,125,2
11733,125,2
12473,125,6
11502,125,2
11300,125,2
13136,125,3
13002,125,3
13213,125,6
13620,125,4
10774,125,2
11610,125,9
11384,125,7
12369,125,5
15071,125,9
12160,125,4
14668,125,9
12044,125,9
14754,125,8
10196,125,2
12259,125,4
12703,125,6
13076,125,3
13279,125,10
12861,125,6
11079,125,3
10520,125,3
11909,125,8
10292,125,3
11278,125,1
13102,125,7
12972,125,8
11180,125,4
13577,125,5
10742,125,5
13660,125,3
10516,125,2
12357,125,4
12752,125,5
15041,125,9
12541,125,5
10832,125,5
10609,125,3
12019,125,9
10377,125,3
14277,125,5
12219,125,8
12674,125,3
13064,125,5
13274,125,6
12827,125,3
11063,125,5
10840,125,2
10278,125,4
11665,125,4
12431,125,8
14280,125,4
13561,125,3
10701,125,6
10470,125,3
12303,125,9
12747,125,5
15010,125,8
13723,125,4
12503,125,8
12909,125,3
13416,125,7
10586,125,2
11980,125,4
10356,125,2
11763,125,2
12649,125,3
13152,125,9
13030,125,8
11228,125,3
13215,125,4
12490,125,8
10808,125,9
11613,125,9
12412,125,5
15054,125,2
